year,religion,count
1939,Judaism,36
1939,Hinduism,2
1939,Islam,2
1939,Catholicism,4
1939,Taoism,1
1939,Buddhism,2
1939,Shinto,1
1917,Catholicism,5
1917,Buddhism,1
1955,Judaism,14
1955,Interfaith,2
1955,Buddhism,10
1955,Catholicism,7
1955,Islam,6
1955,Shinto,1
1960,Catholicism,16
1960,Interfaith,58
1960,Buddhism,13
1960,Hinduism,2
1960,Judaism,25
1960,Islam,6
1960,Taoism,1
1946,Buddhism,1
1946,Hinduism,10
1946,Judaism,16
1946,Catholicism,3
1946,Islam,1
1924,Catholicism,7
1924,Judaism,7
1924,Islam,2
1924,Confucianism,1
1924,Hinduism,3
1961,Buddhism,7
1961,Interfaith,45
1961,Islam,5
1961,Catholicism,6
1961,Judaism,16
1958,Catholicism,15
1958,Interfaith,72
1958,Judaism,15
1958,Hinduism,1
1958,Islam,1
1958,Buddhism,1
1915,Judaism,8
1915,Catholicism,6
1915,Hinduism,1
1956,Judaism,39
1956,Catholicism,3
1956,Interfaith,6
1956,Islam,2
1956,Hinduism,1
1962,Interfaith,28
1962,Buddhism,2
1962,Hinduism,1
1962,Judaism,4
1962,Islam,5
1962,Catholicism,2
1930,Islam,1
1930,Judaism,28
1930,Buddhism,3
1930,Catholicism,5
1964,Catholicism,7
1964,Interfaith,64
1964,Judaism,6
1964,Islam,8
1964,Hinduism,1
1964,Zoroastrianism,4
1964,Druze,1
1964,Taoism,1
1964,Buddhism,1
1954,Hinduism,2
1954,Catholicism,20
1954,Judaism,21
1954,Baha'i,1
1954,Interfaith,1
1954,Islam,4
1927,Catholicism,14
1927,Judaism,27
1927,Islam,26
1927,Buddhism,15
1927,Hinduism,3
1927,Jainism,1
1944,Catholicism,6
1944,Buddhism,2
1944,Hinduism,1
1944,Judaism,3
1944,Baha'i,1
1949,Catholicism,5
1949,Judaism,7
1940,Judaism,7
1940,Catholicism,9
1940,Islam,1
1931,Catholicism,5
1931,Hinduism,13
1931,Islam,9
1931,Judaism,6
1931,Baha'i,1
1948,Hinduism,10
1948,Catholicism,5
1948,Buddhism,1
1948,Interfaith,2
1948,Judaism,5
1948,Islam,3
1921,Hinduism,2
1921,Judaism,6
1921,Buddhism,1
1921,Catholicism,2
1921,Islam,1
1966,Interfaith,47
1966,Catholicism,13
1966,Islam,2
1966,Buddhism,5
1966,Judaism,25
1966,Hinduism,1
1925,Catholicism,4
1925,Judaism,9
1925,Hinduism,6
1951,Catholicism,17
1951,Judaism,6
1951,Hinduism,8
1951,Islam,8
1951,Confucianism,1
1965,Interfaith,48
1965,Islam,2
1965,Judaism,6
1965,Buddhism,5
1965,Hinduism,2
1965,Catholicism,3
1916,Judaism,8
1916,Catholicism,1
1943,Catholicism,10
1943,Judaism,6
1943,Hinduism,3
1943,Islam,3
1943,Confucianism,13
1943,Buddhism,11
1943,Taoism,5
1920,Hinduism,3
1920,Catholicism,1
1920,Judaism,8
1920,Buddhism,1
1920,Confucianism,1
1920,Taoism,1
1938,Judaism,23
1938,Buddhism,4
1938,Catholicism,11
1938,Hinduism,11
1938,Islam,1
1935,Judaism,4
1935,Hinduism,8
1935,Sikhism,1
1935,Buddhism,3
1935,Confucianism,1
1935,Taoism,2
1935,Catholicism,1
1963,Interfaith,62
1963,Buddhism,15
1963,Hinduism,4
1963,Islam,37
1963,Judaism,10
1963,Catholicism,2
1968,Catholicism,9
1968,Interfaith,40
1968,Judaism,22
1968,Islam,2
1968,Buddhism,7
1968,Hinduism,2
1923,Judaism,30
1923,Catholicism,10
1923,Islam,7
1923,Buddhism,2
1923,Confucianism,4
1923,Taoism,1
1933,Buddhism,2
1933,Catholicism,7
1933,Judaism,5
1933,Islam,2
1933,Hinduism,1
1952,Catholicism,17
1952,Judaism,16
1952,Shinto,1
1952,Hinduism,8
1952,Islam,23
1947,Judaism,19
1947,Catholicism,2
1947,Hinduism,6
1947,Islam,15
1947,Buddhism,1
1934,Catholicism,13
1934,Judaism,17
1934,Islam,3
1934,Buddhism,1
1922,Islam,1
1922,Baha'i,1
1922,Buddhism,3
1922,Hinduism,12
1922,Judaism,7
1922,Catholicism,3
1959,Interfaith,67
1959,Judaism,11
1959,Buddhism,8
1959,Catholicism,19
1945,Catholicism,5
1945,Islam,1
1945,Judaism,10
1919,Buddhism,1
1919,Confucianism,2
1919,Judaism,8
1919,Taoism,1
1919,Catholicism,3
1919,Islam,4
1953,Catholicism,13
1953,Hinduism,2
1953,Islam,6
1953,Judaism,23
1953,Shinto,1
1953,Buddhism,1
1936,Islam,5
1936,Hinduism,1
1936,Catholicism,12
1936,Judaism,8
1957,Buddhism,20
1957,Interfaith,22
1957,Catholicism,7
1957,Islam,8
1957,Judaism,10
1957,Confucianism,16
1957,Hinduism,6
1957,Taoism,1
1926,Judaism,16
1926,Catholicism,10
1926,Hinduism,1
1926,Islam,1
1926,Buddhism,1
1918,Buddhism,5
1918,Confucianism,1
1918,Hinduism,6
1918,Catholicism,1
1918,Judaism,1
1918,Islam,3
1967,Catholicism,7
1967,Interfaith,22
1967,Judaism,27
1967,Zoroastrianism,1
1967,Buddhism,2
1967,Islam,1
1932,Hinduism,2
1932,Islam,3
1932,Catholicism,8
1932,Judaism,16
1932,Buddhism,10
1932,Taoism,1
1932,Confucianism,1
1942,Judaism,6
1942,Catholicism,8
1942,Hinduism,2
1942,Islam,6
1928,Hinduism,6
1928,Judaism,7
1928,Catholicism,5
1928,Buddhism,4
1950,Catholicism,4
1950,Judaism,8
1950,Hinduism,4
1950,Buddhism,3
1950,Zoroastrianism,1
1929,Catholicism,6
1929,Judaism,10
1929,Hinduism,5
1929,Buddhism,1
1937,Catholicism,7
1937,Judaism,22
1937,Hinduism,8
1937,Baha'i,2
1941,Judaism,10
1941,Catholicism,5
1941,Hinduism,1
1914,Catholicism,1
